File,code,PrevDH,Lag,Seg_Start,Seg_End,Word,Word_Start,Word_End,PrevWord,Pre_Seg,Pre_Seg_Start,Pre_Seg_End,Post_Seg,Post_Seg_Start,Post_Seg_End,Window,Vowels_per_Second,gender,birthyear,age,obs,prev
PH00-1-1,1,9,46.339,578.478,578.538,THAT,578.478,578.748,THAT'S,ER,578.438,578.478,AH,578.538,578.568,1.976,2.53,m,1979,21,1,0
PH00-1-1,1,0,43.945,622.623,622.663,THEY,622.623,622.693,THAT,S,622.573,622.623,EY,622.663,622.693,1.07,7.477,m,1979,21,1,0
PH00-1-1,0,1,2.195,624.828,624.858,THE,624.828,624.888,THEY,N,624.747,624.828,AH,624.858,624.888,0.91,8.791,m,1979,21,0,1
PH00-1-1,2,0,1.15,625.938,626.008,THE,625.938,626.038,THE,sp,625.808,625.938,AH,626.008,626.038,1.05,5.714,m,1979,21,1,0
PH00-1-1,1,1,28.83,654.808,654.838,THE,654.808,654.868,THE,N,654.778,654.808,IY,654.838,654.868,1.04,8.654,m,1979,21,1,1
PH00-1-1,1,9,39.529,694.338,694.368,THE,694.338,694.397,THE,N,694.308,694.338,AH,694.368,694.397,0.651,12.289,m,1979,21,1,0
PH00-1-1,1,1,29.741,724.048,724.078,THEY'RE,724.048,724.138,THE,S,723.968,724.048,EH,724.078,724.108,0.75,10.667,m,1979,21,1,1
PH00-1-1,1,1,1.07,725.038,725.088,THEN,725.038,725.208,THEY'RE,L,724.968,725.038,EH,725.088,725.127,1.07,8.411,m,1979,21,1,1
PH00-1-1,1,1,0.08,725.208,725.238,THEY,725.208,725.288,THEN,N,725.127,725.208,EY,725.238,725.288,1.35,7.407,m,1979,21,1,1
PH00-1-1,1,9,22.985,748.213,748.243,THE,748.213,748.273,THEY,N,748.183,748.213,AH,748.243,748.273,2.595,1.927,m,1979,21,1,0
PH00-1-1,2,9,11.344,759.507,759.568,THE,759.507,759.617,THE,sp,759.428,759.507,AH,759.568,759.617,1.33,3.759,m,1979,21,1,0
PH00-1-1,1,2,1.981,761.518,761.568,THE,761.518,761.598,THE,sp,761.438,761.518,AH,761.568,761.598,1.05,7.619,m,1979,21,1,1
PH00-1-1,0,9,6.345,767.823,767.883,THE,767.823,767.943,THE,OW,767.722,767.823,AH,767.883,767.943,2.409,2.076,m,1979,21,0,0
PH00-1-1,2,9,21.695,789.458,789.547,THERE'S,789.458,789.638,THE,sp,788.648,789.458,EH,789.547,789.577,2.38,2.941,m,1979,21,1,0
PH00-1-1,1,1,83.175,872.663,872.703,THAT,872.663,872.813,THERE'S,AW,872.593,872.663,AE,872.703,872.782,1.666,2.401,m,1979,21,1,1
PH00-1-1,1,1,17.86,890.613,890.643,THE,890.613,890.673,THAT,L,890.583,890.613,AH,890.643,890.673,1.02,6.863,m,1979,21,1,1
PH00-1-1,1,1,0.63,891.063,891.113,THERE,891.063,891.303,THE,N,891.013,891.063,EH,891.113,891.233,2.335,2.141,m,1979,21,1,1
PH00-1-1,1,1,7.985,899.228,899.258,THE,899.228,899.288,THERE,IY,899.178,899.228,AH,899.258,899.288,1.21,8.264,m,1979,21,1,1
PH00-1-1,1,1,2.03,901.148,901.188,THERE,901.148,901.318,THE,N,901.068,901.148,EH,901.188,901.258,2.4,2.083,m,1979,21,1,1
PH00-1-1,1,1,39.694,940.893,940.933,THAT,940.893,941.012,THERE,S,940.833,940.893,AH,940.933,940.982,1.2,8.333,m,1979,21,1,1
PH00-1-1,1,1,0.481,941.333,941.413,THERE,941.333,941.493,THAT,N,941.302,941.333,EH,941.413,941.453,3.18,1.572,m,1979,21,1,1
PH00-1-1,0,2,6.195,947.538,947.588,THAT,947.538,947.688,THERE,sp,947.228,947.538,AE,947.588,947.658,1.85,4.324,m,1979,21,0,1
PH00-1-1,1,1,58.305,1005.923,1005.953,THE,1005.923,1005.993,THAT,N,1005.843,1005.923,AH,1005.953,1005.993,1.6,3.125,m,1979,21,1,1
PH00-1-1,1,1,2.59,1008.403,1008.443,THAT,1008.403,1008.583,THE,N,1008.363,1008.403,AH,1008.443,1008.553,2.515,1.988,m,1979,21,1,1
PH00-1-1,1,1,3.14,1011.563,1011.613,THAT'S,1011.563,1011.723,THAT,sp,1011.523,1011.563,AE,1011.613,1011.643,0.935,4.278,m,1979,21,1,1
PH00-1-1,1,1,2.465,1014.058,1014.098,THERE,1014.058,1014.188,THAT'S,N,1014.028,1014.058,EH,1014.098,1014.158,0.729,9.602,m,1979,21,1,1
PH00-1-1,0,1,5.108,1019.216,1019.266,THE,1019.216,1019.296,THERE,sp,1019.066,1019.216,AH,1019.266,1019.296,1.53,5.229,m,1979,21,0,1
PH00-1-1,0,0,1.24,1020.456,1020.506,THE,1020.456,1020.536,THE,sp,1020.156,1020.456,AH,1020.506,1020.536,2.112,2.367,m,1979,21,0,0
PH00-1-1,1,0,1.982,1022.458,1022.488,THE,1022.458,1022.518,THE,N,1022.417,1022.458,AH,1022.488,1022.518,1.33,6.767,m,1979,21,1,0
PH00-1-1,1,1,0.82,1023.268,1023.298,THE,1023.268,1023.338,THE,NG,1023.237,1023.268,AH,1023.298,1023.338,1.92,3.646,m,1979,21,1,1
PH00-1-1,1,1,4.95,1028.088,1028.248,THE,1028.088,1028.288,THE,ER,1028.048,1028.088,AH,1028.248,1028.288,1.361,5.143,m,1979,21,1,1
PH00-1-1,1,1,4.456,1032.474,1032.534,THERE,1032.474,1032.744,THE,N,1032.424,1032.474,EH,1032.534,1032.674,1.66,4.819,m,1979,21,1,1
PH00-1-1,1,1,4.898,1037.502,1037.542,THERE,1037.502,1037.642,THERE,NG,1037.453,1037.502,EH,1037.542,1037.613,2.215,3.612,m,1979,21,1,1
PH00-1-1,0,1,5.991,1043.573,1043.603,THE,1043.573,1043.633,THERE,P,1043.533,1043.573,AH,1043.603,1043.633,1.16,6.034,m,1979,21,0,1
PH00-1-1,2,0,5.28,1048.832,1048.883,THE,1048.832,1048.913,THE,P,1048.783,1048.832,AH,1048.883,1048.913,1.07,8.411,m,1979,21,1,0
PH00-1-1,1,2,1.04,1049.863,1049.922,THE,1049.863,1049.953,THE,P,1049.833,1049.863,AH,1049.922,1049.953,0.951,7.361,m,1979,21,1,1
PH00-1-1,0,1,3.525,1053.278,1053.408,THEY'RE,1053.278,1053.478,THE,L,1053.168,1053.278,EH,1053.408,1053.448,1.379,4.351,m,1979,21,0,1
PH00-1-1,1,0,7.098,1060.416,1060.445,THAT'S,1060.416,1060.576,THEY'RE,sp,1059.639,1060.416,AE,1060.445,1060.476,1.917,2.608,m,1979,21,1,0
PH00-1-1,1,1,20.757,1081.262,1081.303,THE,1081.262,1081.333,THAT'S,AY,1081.143,1081.262,AH,1081.303,1081.333,1.251,7.994,m,1979,21,1,1
PH00-1-1,1,1,8.55,1089.752,1089.792,THEY,1089.752,1089.883,THE,S,1089.592,1089.752,EY,1089.792,1089.883,1.85,3.243,m,1979,21,1,1
PH00-1-1,0,1,4.309,1093.943,1094.133,THEY,1093.943,1094.192,THEY,sp,1093.863,1093.943,EY,1094.133,1094.192,1.21,5.785,m,1979,21,0,1
PH00-1-1,1,1,23.916,1117.928,1118.018,THEY,1117.928,1118.108,THEY,ER,1117.868,1117.928,EY,1118.018,1118.108,1.495,4.682,m,1979,21,1,1
PH00-1-1,0,1,1.8,1119.738,1119.798,THEY'RE,1119.738,1119.908,THEY,sp,1119.178,1119.738,EH,1119.798,1119.878,1.91,3.141,m,1979,21,0,1
PH00-1-1,1,0,6.5,1126.248,1126.277,THAT,1126.248,1126.408,THEY'RE,sp,1125.878,1126.248,AE,1126.277,1126.358,1.66,5.422,m,1979,21,1,0
PH00-1-1,1,1,0.4,1126.648,1126.698,THERE,1126.648,1126.808,THAT,N,1126.618,1126.648,EH,1126.698,1126.778,1.715,2.915,m,1979,21,1,1
PH00-1-1,2,1,1.615,1128.263,1128.362,THEY,1128.263,1128.423,THERE,sp,1127.963,1128.263,EY,1128.362,1128.423,2.145,1.865,m,1979,21,1,1
PH00-1-1,1,9,6.185,1134.338,1134.378,THAT,1134.338,1134.608,THEY,Z,1134.268,1134.338,AE,1134.378,1134.567,3.215,1.866,m,1979,21,1,0
